id,slug,title,title_english,description,description_english,created_at
01544f37-d138-4297-b970-a46b65c9bb62,experiencias-gastronomicas,Experiencias Gastronómicas,Gastronomic Experiences,experiencias-gastronomicas,gastronomic experiences,2026-05-23 00:37:18.340772+00
0c408a77-0c89-404c-b52b-d670c701c3c8,cdmx,CDMX,Mexico City,Tours y experiencias en Ciudad de México.,Tours and experiences in Mexico City.,2026-05-20 15:57:01.379464+00
14dbcd19-0d9e-40ea-8272-6de15b2471b3,cancun,Cancún,Cancun,Tours y experiencias en Cancún.,Tours and experiences in Cancun.,2026-05-25 17:40:40.606844+00
260590ee-b6dd-4f31-88c8-ba1db61fc174,puerto-escondido,Puerto Escondido,Puerto Escondido,Tours y experiencias en Puerto Escondido.,Tours and experiences in Puerto Escondido.,2026-05-25 17:40:40.606844+00
3381cd4a-7f18-47e3-b63f-c3ed072a916f,puerto-vallarta,Puerto Vallarta,Puerto Vallarta,Tours y experiencias en Puerto Vallarta.,Tours and experiences in Puerto Vallarta.,2026-05-20 15:57:01.379464+00
69925edb-8a6e-4879-a31d-e665b272a690,los-cabos,Los Cabos,Los Cabos,Tours y experiencias en Los Cabos.,Tours and experiences in Los Cabos.,2026-05-25 17:40:40.606844+00
75f4b107-2540-4575-bf09-d6f969dda5cf,yucatan,Yucatán,Yucatan,Tours y experiencias en Yucatán.,Tours and experiences in Yucatan.,2026-05-20 15:57:01.379464+00
88cd0201-0b35-4816-bd32-5d12803988d2,puebla,Puebla,Puebla,Tours y experiencias en Puebla.,Tours and experiences in Puebla.,2026-05-25 17:40:40.606844+00
a3d8cf09-3dfa-4bf0-89d7-83affc83567d,huatulco,Huatulco,Huatulco,Tours y experiencias en Huatulco.,Tours and experiences in Huatulco.,2026-05-25 17:40:40.606844+00
b53bfb67-fdd3-41cf-b43a-659a587229d1,chichen-itza,Chichén Itzá,Chichen Itza,Tours y experiencias en Chichén Itzá.,Tours and experiences in Chichen Itza.,2026-05-25 17:40:40.606844+00
ba6ab274-53df-4049-915e-5401a3b05d7a,guanajuato,Guanajuato,Guanajuato,Tours y experiencias en Guanajuato.,Tours and experiences in Guanajuato.,2026-05-20 15:57:01.379464+00
e56530f3-9b16-43f3-8c16-27d918df9598,cozumel,Cozumel,Cozumel,Tours y experiencias en Cozumel.,Tours and experiences in Cozumel.,2026-05-25 17:40:40.606844+00
ea351dee-6e63-424a-9cbc-74b58da4587e,isla-mujeres,Isla Mujeres,Isla Mujeres,Tours y experiencias en Isla Mujeres.,Tours and experiences in Isla Mujeres.,2026-05-25 17:40:40.606844+00
f364e6b0-3ba1-4adc-801b-adca0218ca49,oaxaca,Oaxaca,Oaxaca,Tours y experiencias en Oaxaca.,Tours and experiences in Oaxaca.,2026-05-20 15:57:01.379464+00
f8281418-5fae-456b-819f-facebef7513a,holbox,Holbox,Holbox,Tours y experiencias en Holbox.,Tours and experiences in Holbox.,2026-05-25 17:40:40.606844+00
